Agentid,TimePassed,LaraPosition.x,LaraPosition.y,LaraPosition.z,MarkoPosition.x,MarkoPosition.y,MarkoPosition.z,HalloPosition.x,HalloPosition.y,HalloPosition.z,Food1Position.x,Food1Position.y,Food1Position.z,Food2Position.x,Food2Position.y,Food2Position.z,Food3Position.x,Food3Position.y,Food3Position.z,Food,Health,AttackParticlePosition.x,AttackParticlePosition.y,AttackParticlePosition.z,ParticleContainPosition.x,ParticleContainPosition.y,ParticleContainPosition.z,Speed,Action
1,0.08333334,0,0,0,-2.1,0,-5.032,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,2.543501,-0.6272725,5.833326,-9,0.47,-1.96,5,4
1,0.1166667,0.1000004,0,0,-2.1,0,-4.932,1.26,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,2.643501,-0.6272725,5.833326,-9,0.47,-1.96,5,4
1,0.1333333,0.2000008,0,0,-2.1,0,-4.832,1.32,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,6.033327,-0.6272725,-2.543502,-9,0.47,-1.96,5,4
1,0.15,0.3000011,0,0,-2.1,0,-4.732,1.38,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,6.133327,-0.6272725,-2.543502,-9,0.47,-1.96,5,4
1,0.1666667,0.4000015,0,0,-2.1,0,-4.632,1.44,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,6.233328,-0.6272725,-2.543502,-9,0.47,-1.96,5,4
1,0.2833334,0.5000019,0,0,-2.1,0,-5.032,1.5,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,6.333328,-0.6272725,-2.543502,-9,0.47,-1.96,5,2
1,0.3166667,0.5000019,0,0.0999999,-2.1,0,-4.932,1.5,-0.04000002,1.39,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,6.333328,-0.6272725,-2.443502,-9,0.47,-1.96,5,2
1,0.3333334,0.5000019,0,0.1999998,-2.1,0,-4.832,1.5,-0.04000002,1.45,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,3.043503,-0.6272725,6.033326,-9,0.47,-1.96,5,2
1,0.3500001,0.5000019,0,0.2999997,-2.1,0,-4.732,1.5,-0.04000002,1.51,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,3.043503,-0.6272725,6.133326,-9,0.47,-1.96,5,2
1,0.3666668,0.5000019,0,0.3999996,-2.1,0,-4.632,1.5,-0.04000002,1.57,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,3.043503,-0.6272725,6.233326,-9,0.47,-1.96,5,2
