Agentid,TimePassed,LaraPosition.x,LaraPosition.y,LaraPosition.z,MarkoPosition.x,MarkoPosition.y,MarkoPosition.z,HalloPosition.x,HalloPosition.y,HalloPosition.z,Food1Position.x,Food1Position.y,Food1Position.z,Food2Position.x,Food2Position.y,Food2Position.z,Food3Position.x,Food3Position.y,Food3Position.z,Food,Health,AttackParticlePosition.x,AttackParticlePosition.y,AttackParticlePosition.z,ParticleContainPosition.x,ParticleContainPosition.y,ParticleContainPosition.z,Speed,Action,Action0,Action1,Action2,Action3,Action4,Action5,Action6
2,0.08333334,-2.1,0,-5.032,-2.1,0,-5.032,1.2,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.1166667,-2.1,0,-4.932,-2.1,0,-4.932,1.26,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.1333333,-2.1,0,-4.832,-2.1,0,-4.832,1.32,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.15,-2.1,0,-4.732,-2.1,0,-4.732,1.38,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.1666667,-2.1,0,-4.632,-2.1,0,-4.632,1.44,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.1833333,-2.1,0,-4.532001,-2.1,0,-4.532001,1.5,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,3,0,0,0,1,0,0,0
2,0.2166667,-2.1,0,-4.632,-2.1,0,-4.632,1.5,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,3,0,0,0,1,0,0,0
2,0.2333333,-2.1,0,-4.732,-2.1,0,-4.732,1.5,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,3,0,0,0,1,0,0,0
2,0.25,-2.1,0,-4.832,-2.1,0,-4.832,1.5,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,3,0,0,0,1,0,0,0
2,0.2666667,-2.1,0,-4.932,-2.1,0,-4.932,1.5,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,3,0,0,0,1,0,0,0
2,0.2833334,-2.1,0,-5.032,-2.1,0,-5.032,1.5,-0.04000002,1.33,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.3166667,-2.1,0,-4.932,-2.1,0,-4.932,1.5,-0.04000002,1.39,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.3333334,-2.1,0,-4.832,-2.1,0,-4.832,1.5,-0.04000002,1.45,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.3500001,-2.1,0,-4.732,-2.1,0,-4.732,1.5,-0.04000002,1.51,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.3666668,-2.1,0,-4.632,-2.1,0,-4.632,1.5,-0.04000002,1.57,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.3833334,-2.1,0,-4.532001,-2.1,0,-4.532001,1.5,-0.04000002,1.63,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,0.4166668,-2,0,-4.532001,-2,0,-4.532001,1.5,-0.04000002,1.63,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,0.4333335,-1.9,0,-4.532001,-1.9,0,-4.532001,1.5,-0.04000002,1.63,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,0.4500002,-1.799999,0,-4.532001,-1.799999,0,-4.532001,1.5,-0.04000002,1.63,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,0.4666668,-1.699999,0,-4.532001,-1.699999,0,-4.532001,1.5,-0.04000002,1.63,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,0.5833334,-1.599998,0,-4.532001,-1.599998,0,-4.532001,1.5,-0.04000002,1.63,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.6166667,-1.599998,0,-4.432001,-1.599998,0,-4.432001,1.5,-0.04000002,1.63,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.6333334,-1.599998,0,-4.332001,-1.599998,0,-4.332001,1.5,-0.04000002,1.63,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.65,-1.599998,0,-4.232001,-1.599998,0,-4.232001,1.5,-0.04000002,1.63,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.6666667,-1.599998,0,-4.132001,-1.599998,0,-4.132001,1.5,-0.04000002,1.63,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,2,0,0,1,0,0,0,0
2,0.9833331,-1.599998,0,-4.032001,-1.599998,0,-4.032001,1.5,-0.04000002,1.63,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,5,5,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,1.016666,-1.499998,0,-4.032001,-1.499998,0,-4.032001,1.5,-0.04000002,1.69,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,1.033333,-1.399998,0,-4.032001,-1.399998,0,-4.032001,1.5,-0.04000002,1.75,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
2,1.05,-1.299997,0,-4.032001,-1.299997,0,-4.032001,1.5,-0.04000002,1.81,-7.13,0.5,-4.94,-1.05,0.5,3.55,4.48,0.6,2.29,4.25,4.625,-8.954,0.89,-7,-10,0.47,-4.96,5,4,0,0,0,0,1,0,0
